c
pb
sm
BW ; A2
BWBW ; A4
BWBWBW ; A6
BWBWBWBW ; A8
BWBWBWBWBW ; A10
BWBWBWBWBWBW ; A12
BWBWBWBWBWBWBW ; A14
BWBWBWBWBWBWBWBW ; A16
BWBWBWBWBWBWBWBWBW ; A18
BWBWBWBWBWBWBWBWBWBW ; A20
BWBWBWBWBWBWBWBWBWBWBW ; A22
BWBWBWBWBWBWBWBWBWBWBWBW ; A24
BWBWBWBWBWBWBWBWBWBWBWBWBW ; A26
BWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A28
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A30
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A32
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A34
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A36
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A38
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A40
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A42
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A44
BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A46
#BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A48
#BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A50
#BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A52
#BWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBWBW ; A54
o
