# Harder problems (random_hard, special problems, with tighter time limits)

# Long standard boards
BWBWBWBWBWBWBWBWBWBW B 3
#? B 16-17 0.0236 146424
BWBWBWBWBWBWBWBWBWBW W 4
#? W 17-18 0.0157 96422
BWBWBWBWBWBWBWBWBWBWB B 12
#? W None 0.1353 838927
BWBWBWBWBWBWBWBWBWBWB W 4
#? W 19-20 0.0253 155778
BWBWBWBWBWBWBWBWBWBWBW B 10
#? B 18-19 0.1020 631014
BWBWBWBWBWBWBWBWBWBWBW W 12
#? W 19-20 0.0677 412950
BWBWBWBWBWBWBWBWBWBWBWB B 50
#? W None 0.6569 4043531
BWBWBWBWBWBWBWBWBWBWBWB W 14
#? W 21-22 0.1382 838928
BWBWBWBWBWBWBWBWBWBWBWBW B 40
#? B 20-21 0.5357 3268568
BWBWBWBWBWBWBWBWBWBWBWBW W 50
#? W 21-22 0.3224 1962322
BWBWBWBWBWBWBWBWBWBWBWBWB B 100
#? W None 3.7346 22379815
BWBWBWBWBWBWBWBWBWBWBWBWB W 50
#? W 23-24 0.6748 4043532
BWBWBWBWBWBWBWBWBWBWBWBWBW B 100
#? B 22-23 3.0995 18658892
BWBWBWBWBWBWBWBWBWBWBWBWBW W 100
#? W 23-24 2.2825 13710626

# random problems between size 20 to 64, BW. weighting of 4.5:4.5:1
WB.BW.WBB.WBWBW.WWBB.BBW.WB.BW.BWBWWW.WB B 15
#? B 39-38 0.0166 108494
WB.BW.WBB.WBWBW.WWBB.BBW.WB.BW.BWBWWW.WB W 45
#? B None 0.0655 423593
WB.BBBWBB.BBW.BWBWB.WWBWBWBB.BW.BBWW.BWW B 70
#? B 36-35 0.0159 98018
WB.BBBWBB.BBW.BWBWB.WWBWBWBB.BW.BBWW.BWW W 65
#? W 37-38 0.0079 51226
BWWBWWWBWBBBWBW.WB.WB.BBBWB.WWBW B 7
#? B 30-31 0.1959 1255404
BWWBWWWBWBBBWBW.WB.WB.BBBWB.WWBW W 14
#? W 25-26 0.2516 1528454
BW.BBBW.WBW.WWB.WBWB.WB.BBBBW.BW.WWB.WB B 3
#? B 37-38 0.0046 31630
BW.BBBW.WBW.WWB.WBWB.WB.BBBBW.BW.WWB.WB W 6
#? B None 0.0207 138651
WBWWW.BW.WB.BBWWWWWWB.BW.BW.WB.WWBWBBB B 10
#? W None 4.3634 28022921
WBWWW.BW.WB.BBWWWWWWB.BW.BW.WB.WWBWBBB W 2
#? W 35-34 0.0095 56122
WBBBB.BW.WBBBWBWBBWW.WWWB.WBBW B 3
#? B 28-29 0.0346 227368
WBBBB.BW.WBBBWBWBBWW.WWWB.WBBW W 5
#? B None 0.0813 537375
WWB.WBBW.WBB.BBWBBBWBWWWBWBBWBWB B 62
#? B 31-30 1.9948 12120172
WWB.WBBW.WBB.BBWBBBWBWWWBWBBWBWB W 100
#? W 29-30 4.2664 26055158
WBBWWBB.BBWW.BBBWBBB.BWBWWBB.BW.BBBWWWW B 10
#? B 37-36 0.0304 187126
WBBWWBB.BBWW.BBBWBBB.BWBWWBB.BW.BBBWWWW W 10
#? B None 0.0937 590189
BWB.WB.BWB.WB.BBW.BBBBBW.WWB.WWWWB.WBB.WWB B 4
#? B 41-40 0.0041 25152
BWB.WB.BWB.WB.BBW.BBBBBW.WWB.WWWWB.WBB.WWB W 30
#? W 41-40 0.1090 679724
WBW.WBBBBB.BBW.WB.WWWBB.WB.BW.WWWBWB.BW B 3
#? B 37-38 0.0091 55890
WBW.WBBBBB.BBW.WB.WWWBB.WB.BW.WWWBWB.BW W 5
#? B None 0.0329 206199
BW.WBBBWWWWBWWBB.WWBW.WB.BBWWBWBW B 95
#? B 31-30 0.3625 2200912
BW.WBBBWWWWBWWBB.WWBW.WB.BBWWBWBW W 60
#? B None 0.7603 4589385
BBW.BWBW.BW.WBWWBBBW.WWB.WWBBWB B 5
#? B 16-15 0.0161 104582
BBW.BWBW.BW.WBWWBBBW.WWB.WWBBWB W 5
#? W 5-6 0.0074 46064
BBBWBB.WB.WBWWBB.WWWBB.BBBBWBBWBWBW.BW.BWW B 40
#? B 36-37 0.2581 1513564
BBBWBB.WB.WBWWBB.WWWBB.BBBBWBBWBWBW.BW.BWW W 100
#? B None 1.1281 6639887
BWW.WBWBWWBBW.WB.WWB.BW.WB.BW.BWBW B 40
#? B 31-32 0.0137 89680
BWW.WBWBWWBBW.WB.WWB.BW.WB.BW.BWBW W 22
#? W 33-32 0.1701 1130040
WBWB.WBWWBBB.BWWB.BW.WBBBWB.BW.BW B 3
#? B 1-0 0.0196 131324
WBWB.WBWWBBB.BWWB.BW.WBBBWB.BW.BW W 7
#? B None 0.1009 686327
WBW.BBBBBW.BWB.BWWWWBBBW.WWBWWWWB.BW B 40
#? B 32-31 2.1524 13262652
WBW.BBBBBW.BWB.BWWWWBBBW.WWBWWWWB.BW W 20
#? B None 0.7754 4893785
WB.BBW.WBBWWWB.WBB.WWBBW.BW.WBBWB B 3
#? B 32-31 0.0382 254880
WB.BBW.WBBWWWB.WBB.WWBBW.BW.WBBWB W 6
#? B None 0.2087 1406063
BBWWBW.BW.BWWBWWBBBBWB.BWWB.WWWBB B 10
#? B 31-32 0.2791 1797546
BBWWBW.BW.BWWBWWBBBBWB.BWWB.WWWBB W 15
#? W 32-31 0.5836 3697452
BWW.WWBWBWWBBWBBBBBBB.BWWB.BW.WB.WBBB.BWWB.WBWBW.BBW B 100
#? B 49-50 5.3585 33276090
BWW.WWBWBWWBBWBBBBBBB.BWWB.BW.WB.WBBB.BWWB.WBWBW.BBW W 100
#? B None 24.1901 149066265
BW.BBWB.WB.WWBWWBBWBBBBWBBB.BWW.BWWBBW B 100
#? W None 3.4826 21389281
BW.BBWB.WB.WWBWWBBWBBBBWBBB.BWW.BWWBBW W 100
#? B None 3.1607 19599169
WWBWBBWBBWBBB.WWB.WWBWBBWWBWWWB B 100
#? B 26-27 0.8683 5421296
WWBWBBWBBWBBB.WWB.WWBWBBWWBWWWB W 35
#? W 27-26 0.1922 1196452
WBB.WBBW.WBBWWBBWBBW.BWWB.WB B 3
#? B 5-4 0.0339 224580
WBB.WBBW.WBBWWBBWBBW.BWWB.WB W 3
#? B None 0.0099 61733
WBBWBWBW.WBBBB.WBB.WB B 3
#? B 2-3 0.0001 350
WBBWBWBW.WBBBB.WBB.WB W 1
#? B None 0.0003 1939
WB.BWWW.WBWBWWBW.BWBWB.BW B 1
#? W None 0.0032 22269
WB.BWWW.WBWBWWBW.BWBWB.BW W 1
#? W 8-9 0.0015 10282

# Too difficult
# WBBWWBWW.BBBBW.BWWW.BWWB.BW.WWB.WB.WBB.WB.BBWWB.BBBBWWW.WB B 100
# #? B 43-44 0.0068 43612
# WBBWWBWW.BBBBW.BWWW.BWWB.BW.WWB.WB.WBB.WB.BBWWB.BBBBWWW.WB W 100
# #? ? None

BW.WWBBBWW.BBW.BWBBB.WB.BW.BWBWWW B 7
#? B 29-28 0.0251 160778
BW.WWBBBWW.BBW.BWBBB.WB.BW.BWBWWW W 7
#? W 13-12 0.0213 150240
WB.BW.WWWWWWWBB.BBBWBWWBBBB.BW B 1
#? B 23-24 0.0030 17416
WB.BW.WWWWWWWBB.BBBWBWWBBBB.BW W 1
#? B None 0.0021 11593
WWB.WBBBBBWWBWWBWBBWBBWWW.BW.WWB.BWW.BW B 100
#? B 33-34 0.7822 4536774
WWB.WBBBBBWWBWWBWBBWBBWWW.BW.WWB.BWW.BW W 100
#? W 16-17 6.6995 38848370
WBWWBWWB.BBBWWWWW.WBBBBWBW.WB.WBBWWW B 7
#? B 28-27 0.6708 4138686
WBWWBWWB.BBBWWWWW.WBBBBWBW.WB.WBBWWW W 25
#? W 23-22 0.7682 4900020
BWWBWWWBWB.WBBBWBWBBW.WWB.BW.BWW.BBW B 100
#? B 7-8 0.9383 5806282
BWWBWWWBWB.WBBBWBWBBW.WWB.BW.BWW.BBW W 100
#? W 6-7 1.0437 6325892
BWW.BBBWBBWBBWW.WBW.BWW.WB.BBW.WWWWWB B 5
#? W None 0.0293 174299
BWW.BBBWBBWBBWW.WBW.BWW.WB.BBW.WWWWWB W 3
#? W 35-34 0.0087 50566
WWB.WB.BBW.WWWWBBW.WB.WB B 1
#? B 23-22 0.0000 172
WWB.WB.BBW.WWWWBBW.WB.WB W 1
#? W 22-23 0.0001 402
WBBBWBWBW.WB.BW.BWWWBBBW.BWW B 5
#? B 5-4 0.0252 162764
WBBBWBWBW.WB.BW.BWWWBBBW.BWW W 7
#? W 19-20 0.0400 260690


# special problems
BBWBBWBBW B 1
#? B 4-5 0.0000 40
BBWBBWBBW W 1
#? B None 0.0000 59

# mirrored positions. second player wins
BBBBBW.BWWWWW B 1
#? W None 0.0000 5
BBBBBW.BWWWWW W 1
#? B None 0.0000 5
WWBWBWWBBWBWWBWBWWBBWB.BBWBWBBWWBWBBWBWBBWWBW B 100
#? W None
WWBWBWWBBWBWWBWBWWBBWB.BBWBWBBWWBWBBWBWBBWWBW W 100
#? B None

# check for boundary cases
..BWBW B 1
#? B 4-3 0.0000 4
..BWBW W 1
#? W 5-4 0.0000 4
